index,Reorg_g,Reorg_ex
test_0,0.3753794165090295,0.40400738127868563
test_1,0.5917684237141083,0.5543594454750884
test_2,0.697693857702221,0.602508056920038
test_3,0.405843124572864,0.4983303831446357
test_4,0.3750440199189153,0.40888821304013545
test_5,0.4891158731301447,0.4729217239416713
test_6,0.3724973866815116,0.4078716414235654
test_7,0.5945600369822343,0.4748026615208918
test_8,0.3911326571850621,0.37259474237913115
test_9,0.46390346312592506,0.4378238029920665
test_10,0.5848937844391899,0.6076224451641562
test_11,0.5531449383644699,0.4594477659232204
test_12,0.5457559603245008,0.5333649791140478
test_13,0.2812277602557323,0.23703910179389948
test_14,0.3619331635889693,0.38460515030782905
test_15,0.4072028450826009,0.41520585347841066
test_16,0.46714849802400155,0.40224256145511383
test_17,0.4371639736545117,0.32391660567774655
test_18,0.2575714694220408,0.1964770328101227
test_19,0.357936390164716,0.28219371359270995
test_20,0.2997510111204954,0.33984079241668674
test_21,0.28570727309117033,0.2916075823280227
test_22,0.5235744077656804,0.43199865451272695
test_23,0.2832934404432361,0.36543615513656663
test_24,0.4793303492051538,0.3774315478690457
test_25,0.2902475162093314,0.3297910939957064
test_26,0.45157879811310225,0.48183085706294054
test_27,0.47986635880497697,0.5222981831097703
test_28,0.35502178521733974,0.37430526804847775
test_29,0.3144272135795058,0.33487962325596493
test_30,0.18957080796027148,0.2536272315601388
test_31,0.4660830088843154,0.44624357315007984
test_32,0.5236224582431075,0.4727799066625414
test_33,0.5085167967292928,0.5033755874483491
test_34,0.43729046553144946,0.3925521205404934
test_35,0.6123452262936692,0.6436377760338096
test_36,0.3377139479841195,0.2966701614040998
test_37,0.7286865373548607,0.48809287405990087
test_38,0.5253777334855378,0.47299196983946307
test_39,0.2913099183423208,0.2319747837857329
test_40,0.5985256088595591,0.6184461787819083
test_41,0.33328386319535885,0.38516390144577917
test_42,0.5368966309634391,0.4571910506215943
test_43,0.38525353658117767,0.36813495024295145
test_44,0.3518220306211497,0.3411001512461463
test_45,0.5240899341745927,0.4481421556631675
test_46,0.664115069405776,0.5729060390733521
test_47,0.4247424812871707,0.369554552584948
test_48,0.2176336466090733,0.21054679627645292
test_49,0.5057517320635765,0.4683026424251012
test_50,0.4708716040082309,0.4199218664749479
test_51,0.6912868141638707,0.5308084223158429
test_52,0.5637518041522115,0.4549008150215944
test_53,0.45191439161555885,0.553184272816457
test_54,0.2425411211453764,0.18684248363197256
test_55,0.30758933611847367,0.3186573253394753
test_56,0.3842971390841105,0.35418855639418606
test_57,0.37143647836755833,0.31236264798020885
test_58,0.3767011978433315,0.3804126092140247
test_59,0.7937353198075617,0.722411147730909
test_60,0.6946253710007201,0.6031506866132147
test_61,0.29022756570834024,0.2794197914066493
test_62,0.43838025918193724,0.3516921184377968
test_63,0.3760990499129236,0.47546004987195334
test_64,0.46618084182651354,0.3734541314165588
test_65,0.682959284449555,0.566613686400671
test_66,0.6469698984917175,0.5778189607524171
test_67,0.35155450953033984,0.3510984845774522
test_68,0.32401020914406853,0.263883051601266
test_69,0.4569566302533856,0.4611492784915499
test_70,0.585874814690596,0.5951892448314706
test_71,0.4885785334863661,0.48711428035403515
test_72,0.31881242215956873,0.3039505721246998
test_73,0.5797537390768435,0.5456476926343578
test_74,0.6241856018211108,0.5746310577848609
test_75,0.5984530145418168,0.5594573222916723
test_76,0.5934556317830963,0.48803659122866805
test_77,0.47660268477994183,0.401593633373257
test_78,0.4856431057595386,0.41872040235189095
test_79,0.511934448746589,0.4603013400617548
test_80,0.6709720689050249,0.5257710604372787
test_81,0.6550322403101534,0.7293068409221084
test_82,0.507474131287941,0.4721345312449928
test_83,0.6127284895472119,0.6361179064068222
test_84,0.3341181871786986,0.38998812577535474
test_85,0.47777472569002527,0.3451765149115489
test_86,0.471760090995002,0.4439468755205287
test_87,0.5766618510536382,0.46582405850398767
test_88,0.4162081667110583,0.3338048502847838
test_89,0.3374117602390034,0.3284062753950051
test_90,0.3654605232045677,0.31052963966218455
test_91,0.5169191687767686,0.446173926455452
test_92,0.22696893781304495,0.2630659671833483
test_93,0.46922264569346805,0.4545087999147712
test_94,0.437251177604531,0.3590831708188576
test_95,0.6805009596373833,0.6329016022337026
test_96,0.4647013791513142,0.4222608839059464
test_97,0.40676386088332067,0.37501193658794635
test_98,0.5716722571579506,0.46288221568429216
test_99,0.40481937061223283,0.4890436758968766
test_100,0.6287327992630659,0.44633408334332486
test_101,0.49605436260380503,0.46441984477276554
test_102,0.39559438259919677,0.28715237149742934
test_103,0.3766343280863614,0.3356364313993115
test_104,0.25560913710015165,0.3179748240888174
test_105,0.41596694588337396,0.3549076463249521
test_106,0.42350016978874117,0.41097376773687133
test_107,0.3725280468535994,0.3737553790725078
test_108,0.41849656976075805,0.24854687045294385
test_109,0.30059770730506213,0.29601865847793063
test_110,0.6967957296898765,0.6704572272007306
test_111,0.2738363474018521,0.15466461660830577
test_112,0.34132085822165675,0.3310899239061374
test_113,0.42234355176237376,0.36382687747726106
test_114,0.22963907583561025,0.25070678495433624
test_115,0.24406275339108596,0.3191091446585498
test_116,0.8087334674841609,0.6721603335422106
test_117,0.43956858634256696,0.38476843503990105
test_118,0.2715869708649453,0.26695385217158557
test_119,0.31844290686239296,0.32310472039541877
test_120,0.6891121790153298,0.535334398014175
test_121,0.38171832463357297,0.3083179129904046
test_122,0.3875177659944053,0.3732991236229401
test_123,0.5098013636409685,0.3868265610454696
test_124,0.5461571181640078,0.46567031256302505
test_125,0.22492320571853072,0.23544646211913908
test_126,0.34958509042432767,0.3604856752171401
test_127,0.35309363049604836,0.3508205580890815
test_128,0.3585431196011268,0.3739498463409611
test_129,0.5951734603345397,0.508737786865271
test_130,0.2975245191657749,0.27467813330808627
test_131,0.3566981066651664,0.4307776238969121
test_132,0.34431028873230507,0.3474528660284053
test_133,0.5677972855066052,0.6475574048329013
test_134,0.4070834096778964,0.3301084332541712
test_135,0.5520309555231703,0.5259440765667167
test_136,0.5240834802515385,0.4410410301721034
test_137,0.3323480503836561,0.32519461827068114
test_138,0.5813927789959574,0.6031577814571927
test_139,0.40068614163874205,0.36732847524376616
test_140,0.4187151706943976,0.3785686220160563
test_141,0.6644270995015128,0.7581953150172394
test_142,0.3048734944058961,0.21856592517766016
test_143,0.39215796512286366,0.41143341965108343
test_144,0.49377313715039933,0.48462487317002984
test_145,0.606878408765364,0.5588428057118674
test_146,0.4518683778918696,0.3970216152416972
test_147,0.6853803483297928,0.4915017348187916
test_148,0.48420991510811295,0.5012251696368519
test_149,0.6709772051401359,0.7163518819801031
test_150,0.37969279632887276,0.38768227716366027
test_151,0.4727698500895026,0.4556517674018298
test_152,0.5676778181646377,0.48091290766578715
